key;severity;priority;changelog;num_comments;num_commenters;should_have_been_found;detection_phase;defect_root_cause;linked_fixes;linked_tasks
REPORT-0207;FATAL;Normal;[('In Progress', '2025-09-08T15:20:56.949+0300'), ('In Progress', '2025-09-08T16:37:03.191+0300'), ('In Progress', '2025-11-03T11:05:15.547+0200'), ('Closed', '2026-02-19T12:42:07.974+0200'), ('Open', '2026-03-03T08:41:09.060+0200'), ('In Progress', '2026-03-03T08:41:12.279+0200'), ('Closed', '2026-03-05T11:09:19.099+0200')];18;7;Not a bug / Problem not reproducible;Verification;Incorrect configuration;['FIX-0047'];['TASK-0004']
REPORT-0208;SEVERE;Critical;[('In Progress', '2025-09-12T08:40:56.944+0300'), ('In Progress', '2025-09-23T14:51:47.146+0300'), ('Closed', '2025-10-02T07:41:10.194+0300')];16;6;Code review;Verification;Code – interworking/interface with internal component;['FIX-0264', 'FIX-0115'];['TASK-0141', 'TASK-0255']
REPORT-0209;SEVERE;Critical;[('In Progress', '2025-09-18T10:07:35.052+0300'), ('In Progress', '2025-09-23T09:44:01.496+0300'), ('Closed', '2025-09-25T07:47:16.407+0300')];9;4;Code review;Verification;Code – component internal coding mistake;['FIX-0387'];['TASK-0312']
REPORT-0210;FATAL;Normal;[('In Progress', '2025-09-15T07:27:57.306+0300'), ('Closed', '2025-11-03T16:55:02.925+0200')];21;5;I&V feature / integration testing;Verification;Code – interworking/interface with external component;['FIX-0390', 'FIX-0193', 'FIX-0274', 'FIX-0252', 'FIX-0047'];['TASK-0225']
REPORT-0211;SEVERE;Normal;[('In Progress', '2025-09-24T12:42:24.905+0300'), ('Closed', '2025-09-26T13:54:30.514+0300')];4;3;Code review;Verification;Code – component internal coding mistake;['FIX-0480'];['TASK-0002']
REPORT-0212;SEVERE;Normal;[('In Progress', '2025-09-26T15:52:17.175+0300'), ('Closed', '2025-10-06T12:17:16.454+0300')];4;3;Code review;Verification;Code – not according to the specification;['FIX-0052'];[]
REPORT-0213;SEVERE;Normal;[('In Progress', '2025-09-10T12:49:19.693+0300'), ('Closed', '2025-10-16T12:55:58.256+0300')];15;4;ID review;Verification;ID content insufficient/missing;['FIX-0035', 'FIX-0178'];['TASK-0080']
REPORT-0214;SEVERE;Normal;[('In Progress', '2025-08-29T11:25:26.460+0300'), ('Closed', '2025-08-29T12:03:35.014+0300')];2;1;Not a bug / Problem not reproducible;Integration;Incorrect configuration;[];[]
REPORT-0215;SEVERE;Normal;[('In Progress', '2025-08-29T14:11:13.308+0300'), ('Closed', '2025-08-29T14:11:46.200+0300')];1;1;Not a bug / Problem not reproducible;Verification;Misunderstanding by end user;[];[]
REPORT-0216;SEVERE;Normal;[('In Progress', '2025-08-28T08:54:20.068+0300'), ('Closed', '2026-03-18T15:44:17.425+0200')];23;10;E2E validation;Customer;Code – component internal coding mistake;['FIX-0324'];['TASK-0321']
REPORT-0217;LOW;Normal;[('In Progress', '2025-09-25T09:20:21.636+0300'), ('In Progress', '2025-09-29T11:38:21.855+0300'), ('Closed', '2025-10-20T10:22:28.416+0300')];5;2;Code review;Verification;Code – component internal coding mistake;['FIX-0314'];['TASK-0322', 'TASK-0154']
REPORT-0218;SEVERE;Normal;[('In Progress', '2026-01-19T13:21:49.048+0200'), ('Closed', '2026-01-19T13:25:40.087+0200')];4;3;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];['TASK-0334', 'TASK-0176', 'TASK-0031']
REPORT-0219;SEVERE;Normal;[('In Progress', '2025-09-01T09:50:53.817+0300'), ('Closed', '2025-09-12T11:25:47.211+0300')];3;3;Code review;Verification;Code – component internal coding mistake;['FIX-0150'];['TASK-0237', 'TASK-0031']
REPORT-0220;SEVERE;Normal;[('In Progress', '2025-10-13T08:56:19.085+0300'), ('Closed', '2026-01-21T14:42:00.552+0200')];3;2;SW I&V / Smoke testing;Integration;Code – not according to the specification;['FIX-0391', 'FIX-0226', 'FIX-0467'];['TASK-0327']
REPORT-0221;SEVERE;Normal;[('In Progress', '2025-08-22T13:54:35.807+0300'), ('In Progress', '2025-08-22T13:54:54.750+0300'), ('Closed', '2025-09-03T11:00:53.800+0300')];6;3;SW I&V / Smoke testing;Verification;Code – not according to the specification;['FIX-0069', 'FIX-0379'];['TASK-0337']
REPORT-0222;SEVERE;Normal;[('In Progress', '2025-08-22T16:21:45.025+0300'), ('Closed', '2025-09-26T12:48:20.772+0300')];13;4;Code review;Verification;Code – component internal coding mistake;['FIX-0325', 'FIX-0363'];['TASK-0303']
REPORT-0223;SEVERE;Normal;[('In Progress', '2025-09-25T10:17:02.869+0300'), ('Closed', '2026-01-14T11:56:33.833+0200')];6;4;I&V feature / integration testing;Integration;Code – component internal coding mistake;['FIX-0286'];[]
REPORT-0224;SEVERE;Critical;[('In Progress', '2026-01-14T12:02:57.399+0200'), ('Closed', '2026-01-14T12:05:14.769+0200')];4;3;Not a bug / Problem not reproducible;Integration;Problem not re-producible ;[];['TASK-0257']
REPORT-0225;SEVERE;Critical;[('In Progress', '2025-09-23T13:35:58.369+0300'), ('Closed', '2025-09-23T13:36:36.647+0300')];5;3;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];['TASK-0139', 'TASK-0092', 'TASK-0322', 'TASK-0154', 'TASK-0048']
REPORT-0226;FATAL;Critical;[('In Progress', '2025-09-22T11:06:22.324+0300'), ('Closed', '2025-09-22T11:06:45.644+0300')];11;4;I&V System testing;Verification;Code – component internal coding mistake;['FIX-0006'];['TASK-0275']
REPORT-0227;LOW;Critical;[('In Progress', '2025-08-20T09:41:07.628+0300'), ('Closed', '2025-08-22T16:03:27.404+0300')];2;2;Code review;Verification;ID content insufficient/missing;['FIX-0362'];['TASK-0049']
REPORT-0228;SEVERE;Normal;[('In Progress', '2025-09-04T08:57:57.385+0300'), ('Closed', '2025-09-04T08:59:21.861+0300'), ('Open', '2025-09-04T09:36:18.119+0300'), ('In Progress', '2025-09-04T09:36:24.690+0300'), ('Closed', '2025-09-04T09:53:24.276+0300')];4;3;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];['TASK-0301']
REPORT-0229;SEVERE;Normal;[('In Progress', '2025-09-19T08:52:46.071+0300'), ('Closed', '2025-09-30T14:38:06.955+0300')];6;3;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];['TASK-0217']
REPORT-0230;SEVERE;Critical;[('In Progress', '2025-10-10T08:57:28.151+0300'), ('Closed', '2025-10-31T15:35:13.519+0200')];10;5;Not a bug / Problem not reproducible;Integration;Problem not re-producible ;[];['TASK-0276']
REPORT-0231;SEVERE;Normal;[('In Progress', '2025-09-03T15:36:45.804+0300'), ('Closed', '2025-09-03T15:37:55.091+0300')];10;3;Not a bug / Problem not reproducible;Customer;Requirement/SFS not clear and/or missing;[];[]
REPORT-0232;SEVERE;Normal;[('In Progress', '2025-08-18T10:03:16.360+0300'), ('Closed', '2025-08-18T10:04:17.665+0300')];1;1;Not a bug / Problem not reproducible;Integration;Duplicate;[];[]
REPORT-0233;SEVERE;Normal;[('In Progress', '2025-08-15T09:21:17.130+0300'), ('Closed', '2025-09-18T08:33:56.830+0300')];20;6;I&V feature / integration testing;Integration;ID content insufficient/missing;['FIX-0014', 'FIX-0292'];['TASK-0081', 'TASK-0328']
REPORT-0234;SEVERE;Normal;[('In Progress', '2025-08-13T14:17:33.017+0300'), ('In Progress', '2025-08-14T08:44:20.937+0300'), ('Closed', '2025-08-20T09:24:10.315+0300')];1;1;I&V feature / integration testing;Verification;Code – caused by previous fix;['FIX-0372'];['TASK-0297', 'TASK-0043']
REPORT-0235;SEVERE;Critical;[('In Progress', '2025-08-15T14:25:18.269+0300'), ('Closed', '2025-08-26T16:58:07.772+0300')];4;4;Code review;Verification;Code – interworking/interface with internal component;['FIX-0121', 'FIX-0327'];['TASK-0135']
REPORT-0236;SEVERE;Critical;[('In Progress', '2025-08-15T09:32:04.823+0300'), ('Closed', '2025-08-15T09:33:38.167+0300')];6;4;Not a bug / Problem not reproducible;Integration;3rd party software problems;[];[]
REPORT-0237;SEVERE;Normal;[('In Progress', '2025-08-26T10:35:55.536+0300'), ('Closed', '2025-08-26T10:38:59.707+0300')];10;3;Not a bug / Problem not reproducible;Integration;Misunderstanding by end user;[];[]
REPORT-0238;SEVERE;Normal;[('In Progress', '2025-08-08T13:21:25.871+0300'), ('Closed', '2025-08-08T13:26:54.857+0300'), ('Open', '2025-08-12T09:00:16.874+0300'), ('In Progress', '2025-08-12T09:00:22.245+0300'), ('Closed', '2025-08-19T14:41:33.388+0300')];7;3;Not a bug / Problem not reproducible;Verification;Misunderstanding by end user;['FIX-0200'];[]
REPORT-0239;SEVERE;Critical;[('In Progress', '2025-08-11T12:59:17.416+0300'), ('Closed', '2025-08-11T13:01:58.316+0300')];1;1;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];['TASK-0230']
REPORT-0240;SEVERE;Critical;[('In Progress', '2025-08-18T12:27:55.349+0300'), ('Closed', '2025-08-18T12:28:40.176+0300')];6;4;Not a bug / Problem not reproducible;Verification;Code – component internal coding mistake;[];[]
REPORT-0241;SEVERE;Critical;[('In Progress', '2025-09-04T10:13:08.352+0300'), ('Closed', '2025-09-04T10:13:29.040+0300')];6;4;Code review;Verification;Requirement/SFS not clear and/or missing;['FIX-0455'];[]
REPORT-0242;SEVERE;Critical;[('In Progress', '2025-09-09T09:28:18.806+0300'), ('In Progress', '2025-09-19T10:49:16.451+0300'), ('Closed', '2025-09-25T08:51:58.924+0300')];9;4;Code review;Verification;Code – component internal coding mistake;['FIX-0182', 'FIX-0427'];['TASK-0183']
REPORT-0243;SEVERE;Normal;[('In Progress', '2025-09-24T15:54:26.932+0300'), ('Closed', '2025-09-24T15:59:15.443+0300'), ('Open', '2025-09-26T08:56:20.093+0300'), ('In Progress', '2025-09-26T08:56:23.915+0300'), ('Closed', '2025-09-26T08:57:20.446+0300')];3;3;Not a bug / Problem not reproducible;Integration;Problem not re-producible ;[];['TASK-0211']
REPORT-0244;SEVERE;Normal;[('In Progress', '2026-02-10T15:00:40.188+0200'), ('Closed', '2026-02-10T15:01:33.696+0200')];17;4;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];['TASK-0106']
REPORT-0245;SEVERE;Normal;[('In Progress', '2025-09-22T16:47:51.538+0300'), ('Closed', '2025-09-26T11:32:38.733+0300')];2;2;Code review;Verification;Code – component internal coding mistake;['FIX-0474'];['TASK-0260']
REPORT-0246;SEVERE;Critical;[('In Progress', '2025-08-26T10:36:24.584+0300'), ('Closed', '2025-09-11T10:50:44.966+0300')];6;5;ID review;Verification;Code – interworking/interface with internal component;['FIX-0308', 'FIX-0170'];['TASK-0215']
REPORT-0247;SEVERE;Normal;[('In Progress', '2025-09-22T10:10:42.758+0300'), ('Closed', '2025-10-08T14:27:29.840+0300')];9;2;I&V feature / integration testing;Verification;Code – component internal coding mistake;['FIX-0233'];['TASK-0245']
REPORT-0248;SEVERE;Normal;[('In Progress', '2025-10-22T16:16:18.782+0300'), ('Closed', '2025-10-23T08:04:49.574+0300'), ('Open', '2025-10-24T10:38:06.248+0300'), ('In Progress', '2025-11-03T10:24:13.863+0200'), ('In Progress', '2025-11-11T13:43:51.803+0200'), ('In Progress', '2025-11-11T13:43:56.013+0200'), ('Closed', '2026-04-17T10:45:40.701+0300')];17;6;Not a bug / Problem not reproducible;Verification;ID content insufficient/missing;['FIX-0154', 'FIX-0255', 'FIX-0066'];[]
REPORT-0249;SEVERE;Critical;[('In Progress', '2025-09-19T13:44:48.999+0300'), ('In Progress', '2025-09-23T14:42:36.351+0300'), ('Closed', '2025-09-24T14:02:21.277+0300')];5;2;Code review;Verification;ID content insufficient/missing;['FIX-0469'];['TASK-0019', 'TASK-0031']
REPORT-0250;LOW;Minor;[('In Progress', '2025-10-10T09:49:24.992+0300'), ('Closed', '2025-10-13T09:09:15.070+0300'), ('Open', '2025-10-13T13:09:47.842+0300'), ('In Progress', '2025-10-13T13:09:51.949+0300'), ('Closed', '2025-10-13T13:10:49.273+0300')];10;3;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];['TASK-0102']
REPORT-0251;SEVERE;Normal;[('In Progress', '2025-09-15T08:43:20.861+0300'), ('Closed', '2025-11-11T14:32:59.737+0200')];3;2;Not a bug / Problem not reproducible;Verification;Code – component internal coding mistake;[];[]
REPORT-0252;SEVERE;Normal;[('In Progress', '2025-09-26T16:44:01.891+0300'), ('Closed', '2025-09-26T16:47:20.141+0300')];1;1;Not a bug / Problem not reproducible;Verification;Code – caused by previous fix;[];[]
REPORT-0253;SEVERE;Normal;[('In Progress', '2025-09-25T15:45:53.194+0300'), ('Closed', '2025-09-25T15:49:19.876+0300')];1;1;Not a bug / Problem not reproducible;Verification;Code – caused by previous fix;[];[]
REPORT-0254;SEVERE;Critical;[('In Progress', '2026-01-22T13:07:59.072+0200'), ('In Progress', '2026-01-22T13:08:44.831+0200'), ('In Progress', '2026-01-23T09:01:09.202+0200'), ('In Progress', '2026-01-23T09:01:22.519+0200'), ('Closed', '2026-01-28T14:38:18.808+0200')];4;3;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;['FIX-0457', 'FIX-0151', 'FIX-0465'];['TASK-0339', 'TASK-0025']
REPORT-0255;SEVERE;Normal;[('In Progress', '2025-10-15T14:57:27.966+0300'), ('Closed', '2025-10-15T15:00:19.037+0300')];7;3;Not a bug / Problem not reproducible;Verification;Misunderstanding by end user;[];[]
REPORT-0256;LOW;Normal;[('In Progress', '2025-07-29T14:01:13.545+0300'), ('Closed', '2025-07-30T09:02:14.393+0300')];2;2;Code review;Integration;Code – component internal coding mistake;['FIX-0146'];[]
REPORT-0257;SEVERE;Critical;[('In Progress', '2025-10-14T10:52:13.919+0300'), ('Closed', '2025-10-14T10:52:49.832+0300')];5;2;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];['TASK-0187']
REPORT-0258;SEVERE;Critical;[('In Progress', '2026-01-22T13:35:23.337+0200'), ('Closed', '2026-01-28T13:50:53.188+0200')];4;3;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];['TASK-0292', 'TASK-0269']
REPORT-0259;SEVERE;Normal;[('In Progress', '2025-11-11T14:49:17.513+0200'), ('Closed', '2025-11-11T14:50:24.881+0200')];1;1;Not a bug / Problem not reproducible;Verification;Code – component internal coding mistake;[];[]
REPORT-0260;SEVERE;Normal;[('In Progress', '2025-11-11T14:42:03.905+0200'), ('Closed', '2025-11-11T14:43:03.454+0200')];1;1;Not a bug / Problem not reproducible;Verification;Code – component internal coding mistake;[];[]
REPORT-0261;SEVERE;Normal;[('In Progress', '2025-09-15T14:02:11.661+0300'), ('In Progress', '2025-09-15T14:02:23.577+0300'), ('Closed', '2025-10-13T17:10:41.745+0300')];4;3;SW Unit / Module testing;Verification;Code – interworking/interface with external component;['FIX-0358'];['TASK-0168']
REPORT-0262;FATAL;Normal;[('In Progress', '2025-10-20T14:33:27.235+0300'), ('Closed', '2025-10-30T09:55:33.012+0200')];6;4;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];[]
REPORT-0263;SEVERE;Normal;[('In Progress', '2025-07-16T12:22:57.346+0300'), ('In Progress', '2025-07-31T12:48:03.147+0300'), ('Closed', '2025-08-08T12:12:26.419+0300')];2;2;SW I&V / Smoke testing;Integration;Code – component internal coding mistake;['FIX-0191', 'FIX-0218'];['TASK-0124']
REPORT-0264;FATAL;Critical;[('In Progress', '2025-08-19T12:29:05.842+0300'), ('Closed', '2025-08-19T12:31:04.600+0300')];5;3;Not a bug / Problem not reproducible;Verification;Duplicate;[];[]
REPORT-0265;SEVERE;Critical;[('In Progress', '2025-07-02T16:42:03.080+0300'), ('In Progress', '2025-07-04T10:24:47.412+0300'), ('Closed', '2025-07-10T08:54:58.851+0300')];20;5;Code review;Verification;ID content insufficient/missing;['FIX-0354', 'FIX-0019'];['TASK-0224']
REPORT-0266;SEVERE;Normal;[('In Progress', '2025-07-03T14:53:09.823+0300'), ('In Progress', '2025-07-04T09:10:07.479+0300'), ('In Progress', '2026-03-06T10:49:36.659+0200'), ('Closed', '2026-03-19T15:48:37.074+0200')];50;9;ID review;Verification;ID content insufficient/missing;['FIX-0296', 'FIX-0110', 'FIX-0424', 'FIX-0090', 'FIX-0385', 'FIX-0184'];['TASK-0207', 'TASK-0105', 'TASK-0206', 'TASK-0103', 'TASK-0137']
REPORT-0267;SEVERE;Critical;[('In Progress', '2025-07-09T09:27:48.769+0300'), ('Closed', '2025-07-10T15:46:53.884+0300')];1;1;ID review;Verification;ID content insufficient/missing;['FIX-0206'];['TASK-0007']
REPORT-0268;SEVERE;Normal;[('Postponed', '2026-01-19T13:20:35.429+0200'), ('Open', '2026-04-07T18:59:16.489+0300'), ('In Progress', '2026-04-07T19:00:53.868+0300'), ('Closed', '2026-04-07T19:01:50.732+0300')];4;3;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];['TASK-0054']
REPORT-0269;SEVERE;Critical;[('In Progress', '2025-07-31T10:42:42.710+0300'), ('Closed', '2025-08-21T08:49:00.306+0300')];3;3;ID review;Verification;Code – interworking/interface with internal component;['FIX-0242'];[]
REPORT-0270;SEVERE;Normal;[('In Progress', '2026-01-23T09:31:27.916+0200'), ('Closed', '2026-01-23T09:34:58.387+0200')];5;2;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];['TASK-0154', 'TASK-0282', 'TASK-0179', 'TASK-0199', 'TASK-0288']
REPORT-0271;SEVERE;Normal;[('In Progress', '2025-07-01T12:10:59.988+0300'), ('Closed', '2025-07-30T14:38:59.969+0300')];5;4;ID review;Integration;ID content insufficient/missing;['FIX-0106'];[]
REPORT-0272;SEVERE;Normal;[('In Progress', '2025-07-10T08:28:51.089+0300'), ('Closed', '2025-07-14T10:11:58.929+0300')];15;4;Code review;Verification;Code – interworking/interface with internal component;['FIX-0126'];[]
REPORT-0273;SEVERE;Normal;[('In Progress', '2025-06-30T11:46:56.059+0300'), ('Closed', '2025-06-30T11:48:39.221+0300')];2;1;Not a bug / Problem not reproducible;Integration;No Root Cause;[];[]
REPORT-0274;SEVERE;Normal;[('In Progress', '2025-07-02T11:23:31.422+0300'), ('Closed', '2025-07-04T14:27:50.288+0300')];7;3;Not a bug / Problem not reproducible;Integration;Code – component internal coding mistake;['FIX-0218'];[]
REPORT-0275;SEVERE;Critical;[('In Progress', '2025-07-23T09:17:51.840+0300'), ('Closed', '2025-09-03T17:35:04.820+0300')];12;6;Not a bug / Problem not reproducible;Verification;Misunderstanding by end user;[];['TASK-0161', 'TASK-0010']
REPORT-0276;SEVERE;Critical;[('In Progress', '2025-06-27T13:16:21.240+0300'), ('Closed', '2025-09-15T11:31:55.880+0300'), ('Open', '2025-09-16T19:58:47.080+0300'), ('In Progress', '2025-09-16T19:58:51.450+0300'), ('Closed', '2025-09-16T19:59:18.515+0300')];11;3;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];['TASK-0236']
REPORT-0277;SEVERE;Critical;[('In Progress', '2025-06-26T09:55:48.711+0300'), ('In Progress', '2025-07-02T14:51:11.705+0300'), ('Closed', '2025-07-03T12:48:59.915+0300')];3;2;SW Unit / Module testing;Verification;Code – component internal coding mistake;['FIX-0418'];['TASK-0077']
REPORT-0278;SEVERE;Normal;[('In Progress', '2025-06-26T09:58:57.092+0300'), ('Closed', '2025-08-07T13:56:36.650+0300'), ('Open', '2025-08-19T14:11:47.781+0300'), ('In Progress', '2025-08-19T15:10:47.604+0300'), ('Closed', '2025-09-22T13:21:31.042+0300')];24;7;SW I&V / Smoke testing;Verification;Code – interworking/interface with internal component;['FIX-0336', 'FIX-0122'];['TASK-0160']
REPORT-0279;SEVERE;Critical;[('In Progress', '2025-07-03T07:37:48.067+0300'), ('Closed', '2025-08-21T08:41:23.460+0300')];3;3;ID review;Verification;ID content insufficient/missing;['FIX-0209', 'FIX-0042'];[]
REPORT-0280;SEVERE;Critical;[('In Progress', '2025-07-02T08:31:58.021+0300'), ('In Progress', '2025-07-03T10:17:04.038+0300'), ('Closed', '2025-07-03T12:48:34.888+0300')];4;2;Code review;Verification;Code – component internal coding mistake;['FIX-0187'];[]
REPORT-0281;SEVERE;Normal;[('In Progress', '2025-10-16T12:52:16.919+0300'), ('Closed', '2025-10-17T13:34:08.994+0300')];18;4;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];['TASK-0304']
REPORT-0282;SEVERE;Normal;[('In Progress', '2025-06-25T15:08:18.740+0300'), ('In Progress', '2025-07-01T13:05:01.123+0300'), ('Closed', '2025-07-11T09:19:18.919+0300')];5;3;ID review;Verification;Code – not according to the specification;['FIX-0119'];['TASK-0219', 'TASK-0240']
REPORT-0283;SEVERE;Critical;[('In Progress', '2025-06-30T08:29:56.356+0300'), ('Closed', '2025-07-10T15:52:19.819+0300')];3;3;Code review;Verification;Code – component internal coding mistake;['FIX-0356'];['TASK-0323']
REPORT-0284;SEVERE;Normal;[('In Progress', '2025-07-10T11:11:01.300+0300'), ('Closed', '2025-07-14T10:09:52.832+0300')];7;4;Code review;Verification;Code – interworking/interface with internal component;['FIX-0219'];[]
REPORT-0285;SEVERE;Normal;[('In Progress', '2025-06-25T11:19:00.532+0300'), ('In Progress', '2025-06-25T11:19:13.176+0300'), ('Closed', '2025-07-15T09:16:32.250+0300')];41;10;Code review;Verification;Code – component internal coding mistake;['FIX-0068', 'FIX-0124'];['TASK-0325', 'TASK-0070']
REPORT-0286;SEVERE;Minor;[('In Progress', '2025-07-17T10:05:13.675+0300'), ('Closed', '2025-07-28T17:51:18.520+0300')];0;0;Code review;Implementation;Code – component internal coding mistake;['FIX-0026'];['TASK-0107']
REPORT-0287;SEVERE;Normal;[('In Progress', '2025-06-24T11:50:38.385+0300'), ('In Progress', '2025-06-24T12:21:30.548+0300'), ('Closed', '2025-06-26T12:16:57.123+0300')];5;2;Code review;Verification;Code – not according to the specification;['FIX-0030'];['TASK-0231']
REPORT-0288;FATAL;Critical;[('In Progress', '2025-08-11T09:16:06.548+0300'), ('In Progress', '2025-08-14T09:11:06.960+0300'), ('Closed', '2025-08-22T08:55:40.480+0300')];2;2;SW Unit / Module testing;Integration;Code – component internal coding mistake;['FIX-0078'];['TASK-0239']
REPORT-0289;SEVERE;Normal;[('In Progress', '2025-08-01T15:59:09.312+0300'), ('Closed', '2025-11-11T14:18:10.215+0200')];14;6;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];[]
REPORT-0290;SEVERE;Normal;[('In Progress', '2025-07-31T10:36:35.177+0300'), ('Closed', '2025-08-25T11:58:34.878+0300')];2;2;Code review;Verification;Code – interworking/interface with internal component;['FIX-0220'];[]
REPORT-0291;SEVERE;Normal;[('In Progress', '2025-07-07T11:15:02.707+0300'), ('Closed', '2025-07-10T16:06:38.406+0300')];0;0;Code review;Verification;Code – component internal coding mistake;['FIX-0229'];['TASK-0173']
REPORT-0292;SEVERE;Normal;[('In Progress', '2025-11-11T15:02:48.738+0200'), ('Closed', '2025-11-11T15:03:03.713+0200')];1;1;Not a bug / Problem not reproducible;Verification;Code – component internal coding mistake;[];[]
REPORT-0293;SEVERE;Normal;[('In Progress', '2025-08-06T09:34:28.750+0300'), ('Closed', '2025-08-19T11:46:36.852+0300')];15;6;Code review;Verification;Code – component internal coding mistake;['FIX-0147'];[]
REPORT-0294;SEVERE;Critical;[('In Progress', '2025-06-26T11:06:15.411+0300'), ('Closed', '2025-09-17T14:53:58.388+0300')];13;6;Code review;Verification;Code – component internal coding mistake;['FIX-0332'];['TASK-0330', 'TASK-0021']
REPORT-0295;LOW;Critical;[('In Progress', '2025-07-04T10:41:53.244+0300'), ('Closed', '2025-07-16T12:06:33.083+0300')];10;4;Code review;Integration;Code – caused by previous fix;['FIX-0266'];['TASK-0210', 'TASK-0177']
REPORT-0296;SEVERE;Critical;[('In Progress', '2025-06-25T16:48:52.734+0300'), ('Closed', '2025-07-03T12:35:37.307+0300')];2;2;Code review;Verification;Code – interworking/interface with internal component;['FIX-0201'];['TASK-0022']
REPORT-0297;SEVERE;Critical;[('In Progress', '2025-06-27T14:46:27.099+0300'), ('In Progress', '2025-06-30T13:40:10.795+0300'), ('Closed', '2025-09-05T14:51:12.074+0300')];13;5;Code review;Verification;Code – interworking/interface with internal component;['FIX-0399', 'FIX-0176', 'FIX-0205'];['TASK-0147', 'TASK-0132']
REPORT-0298;SEVERE;Normal;[('In Progress', '2025-08-01T15:48:47.162+0300'), ('Closed', '2025-09-12T12:01:15.058+0300')];8;5;ID review;Integration;ID content insufficient/missing;['FIX-0431', 'FIX-0395'];['TASK-0178']
REPORT-0299;LOW;Critical;[('In Progress', '2025-06-30T17:19:03.180+0300'), ('Closed', '2025-06-30T17:22:40.882+0300')];1;1;Code review;Integration;Code – component internal coding mistake;['FIX-0113'];['TASK-0283']
REPORT-0300;SEVERE;Critical;[('In Progress', '2025-06-18T08:52:11.578+0300'), ('In Progress', '2025-06-18T10:47:11.001+0300'), ('Closed', '2025-06-19T13:42:50.001+0300')];3;2;Code review;Verification;Code – component internal coding mistake;['FIX-0040'];['TASK-0258']
REPORT-0301;SEVERE;Critical;[('In Progress', '2026-01-26T15:00:27.442+0200'), ('Closed', '2026-03-17T14:12:20.144+0200')];16;7;Code review;Verification;ID content insufficient/missing;['FIX-0091'];['TASK-0251']
REPORT-0302;LOW;Normal;[('In Progress', '2026-04-08T09:29:02.400+0300'), ('Closed', '2026-04-08T09:29:08.202+0300')];2;2;SW Unit / Module testing;Integration;Code – component internal coding mistake;['FIX-0226'];[]
REPORT-0303;SEVERE;Normal;[('In Progress', '2025-06-13T17:29:37.187+0300'), ('Closed', '2025-08-29T10:30:23.343+0300')];12;4;SW I&V / Smoke testing;Integration;Requirement/SFS not clear and/or missing;['FIX-0317'];[]
REPORT-0304;SEVERE;Normal;[('In Progress', '2025-07-29T13:19:09.049+0300'), ('Closed', '2025-07-30T10:10:45.659+0300')];6;2;Not a bug / Problem not reproducible;Integration;3rd party software problems;[];[]
REPORT-0305;SEVERE;Normal;[('In Progress', '2025-07-29T09:45:27.510+0300'), ('Closed', '2025-07-29T13:06:14.270+0300')];0;0;I&V feature / integration testing;Integration;Code – component internal coding mistake;['FIX-0096', 'FIX-0322'];[]
REPORT-0306;SEVERE;Normal;[('In Progress', '2025-07-29T12:52:54.020+0300'), ('In Progress', '2025-07-29T12:53:01.783+0300'), ('Closed', '2025-07-29T13:03:05.273+0300')];1;1;I&V feature / integration testing;Integration;Code – component internal coding mistake;['FIX-0123', 'FIX-0284'];[]
REPORT-0307;SEVERE;Critical;[('In Progress', '2025-06-19T06:34:53.303+0300'), ('Closed', '2025-07-09T12:06:53.199+0300')];9;5;ID review;Integration;ID content insufficient/missing;['FIX-0284', 'FIX-0197', 'FIX-0342', 'FIX-0057'];[]
REPORT-0308;SEVERE;Critical;[('In Progress', '2025-06-10T08:26:18.889+0300'), ('In Progress', '2025-06-27T15:23:17.254+0300'), ('Closed', '2025-07-03T12:33:35.254+0300')];14;7;Code review;Verification;Code – component internal coding mistake;['FIX-0203'];[]
REPORT-0309;SEVERE;Normal;[('In Progress', '2025-06-09T14:22:35.822+0300'), ('Closed', '2025-06-30T15:01:38.921+0300')];1;1;Code review;Verification;Code – interworking/interface with external component;['FIX-0120'];[]
REPORT-0310;SEVERE;Critical;[('In Progress', '2025-06-10T08:11:21.110+0300'), ('In Progress', '2025-06-12T10:07:16.641+0300'), ('In Progress', '2025-06-12T10:08:30.922+0300'), ('In Progress', '2025-06-12T14:18:45.687+0300'), ('Closed', '2025-06-25T15:40:06.330+0300')];3;2;Code review;Verification;Code – component internal coding mistake;['FIX-0210', 'FIX-0087', 'FIX-0256', 'FIX-0210', 'FIX-0348'];['TASK-0315']
